package	version	architecture	apt_mark	category	rebuild_profile	direct_or_dependency	component_or_feature	reason	evidence	confidence	notes
alsa-utils	1.2.14-1+rpt1	arm64	auto	base-os	base	dependency	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
apparmor	4.1.0-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
appmenu-gtk-module-common	25.04-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: appmenu-gtk3-module:arm64.	medium	parents=appmenu-gtk3-module:arm64
appmenu-gtk3-module:arm64	25.04-1	arm64	manual	experiment	experimental-full-clone	direct	desktop/application experiment	Preserved experiment, alternate desktop/session implementation, or future-feature candidate.	APT/dpkg history and installed launchers indicate desktop/app experimentation; owner requested experiments be preserved.	medium	none
appmenu-registrar	25.04-1	arm64	manual	experiment	experimental-full-clone	direct	desktop/application experiment	Preserved experiment, alternate desktop/session implementation, or future-feature candidate.	APT/dpkg history and installed launchers indicate desktop/app experimentation; owner requested experiments be preserved.	medium	none
apt	3.0.3	arm64	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
apt-listchanges	4.8	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
apt-transport-https	3.0.3	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
apt-utils	3.0.3	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
aria2	1.37.0+debian-3	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
aspell	0.60.8.1-4	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
aspell-en	2020.12.07-0-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
assistant-qt6	6.8.2-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qt6-tools-dev-tools, qt6-tools-dev:arm64.	medium	parents=qt6-tools-dev-tools,qt6-tools-dev:arm64
at-ease	0.1.0	arm64	manual	local-deb	core	direct	local PiForma app	Locally built PiForma Debian package installed outside configured APT repositories.	dpkg installed package; live services or launchers reference PiForma local apps.	high	none
at-spi2-common	2.56.2-1+deb13u1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, firefox, libgtk-3-0t64:arm64.	medium	parents=chromium,firefox,libgtk-3-0t64:arm64
at-spi2-core	2.56.2-1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
autoconf	2.72-3.1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: dh-autoreconf, debhelper.	medium	parents=dh-autoreconf,debhelper
automake	1:1.17-4	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: dh-autoreconf, debhelper.	medium	parents=dh-autoreconf,debhelper
autopoint	0.23.1-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: dh-autoreconf, debhelper.	medium	parents=dh-autoreconf,debhelper
autotools-dev	20240727.1	all	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
autotouch	0.1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-wayland-core.	medium	parents=rpd-wayland-core
avahi-daemon	0.8-16	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
awb-nn	0~git20251217.c7112b6-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
base-files	13.8+deb13u5	arm64	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
base-passwd	3.6.7	arm64	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
bash	5.2.37-2+b9	arm64	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
bash-completion	1:2.16.0-7	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
bc	1.07.1-4+b1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
binutils	2.44-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, rpi-eeprom, rpi-update.	medium	parents=clang-19,rpi-eeprom,rpi-update
binutils-aarch64-linux-gnu	2.44-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, rpi-eeprom, rpi-update.	medium	parents=clang-19,rpi-eeprom,rpi-update
binutils-common:arm64	2.44-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, rpi-eeprom, rpi-update.	medium	parents=clang-19,rpi-eeprom,rpi-update
blt	2.5.3+dfsg-8	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: python3-full.	medium	parents=python3-full
bluetooth	5.82-1.1+rpt1	all	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
bluez	5.82-1.1+rpt1	arm64	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
bluez-firmware	1.2-13+rpt2	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
bluez-tools	2.0~20170911.0.7cb788c-4+b2	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
bsdextrautils	2.41-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: man-db, raspi-config, debhelper.	medium	parents=man-db,raspi-config,debhelper
bsdutils	1:2.41-5	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
bubblewrap	0.11.0-2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: flatpak, libwebkit2gtk-4.1-0:arm64, about-this-pi-forma.	medium	parents=flatpak,libwebkit2gtk-4.1-0:arm64,about-this-pi-forma
build-essential	12.12	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
busybox	1:1.37.0-6+b8	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
bzip2	1.0.8-6	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
ca-certificates	20250419	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
chromium	1:149.0.7827.114-1~deb13u1+rpt1	arm64	auto	feature-runtime	optional	dependency	optional current feature	Supports a current non-core launcher or optional feature such as Chromium kiosk, QMMP, Flatpak/Kiwix, VNC, VLC, Firefox, or media tooling.	AtEase launcher or installed desktop application evidence.	high	none
chromium-common	1:149.0.7827.114-1~deb13u1+rpt1	arm64	auto	feature-runtime	optional	dependency	optional current feature	Supports a current non-core launcher or optional feature such as Chromium kiosk, QMMP, Flatpak/Kiwix, VNC, VLC, Firefox, or media tooling.	AtEase launcher or installed desktop application evidence.	medium	none
chromium-l10n	1:149.0.7827.114-1~deb13u1+rpt1	all	auto	feature-runtime	optional	dependency	optional current feature	Supports a current non-core launcher or optional feature such as Chromium kiosk, QMMP, Flatpak/Kiwix, VNC, VLC, Firefox, or media tooling.	AtEase launcher or installed desktop application evidence.	medium	none
chromium-sandbox	1:149.0.7827.114-1~deb13u1+rpt1	arm64	auto	feature-runtime	optional	dependency	optional current feature	Supports a current non-core launcher or optional feature such as Chromium kiosk, QMMP, Flatpak/Kiwix, VNC, VLC, Firefox, or media tooling.	AtEase launcher or installed desktop application evidence.	medium	none
cifs-utils	2:7.4-1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
clang-19	1:19.1.7-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
clang-tidy	1:19.0-63	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
clang-tidy-19	1:19.1.7-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
clang-tools-19	1:19.1.7-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
clangd-19	1:19.1.7-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
clangd:arm64	1:19.0-63	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
clippy	0.4.3	arm64	manual	local-deb	core	direct	local PiForma app	Locally built PiForma Debian package installed outside configured APT repositories.	dpkg installed package; live services or launchers reference PiForma local apps.	high	none
cloud-guest-utils	0.33-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cloud-init	25.2-1~bpo13+1+rpt20	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
cmake	3.31.6-2	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
cmake-data	3.31.6-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: cmake.	medium	parents=cmake
colord	1.4.7-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
colord-data	1.4.7-3	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
comerr-dev:arm64	2.1-1.47.2-3+b11	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
console-setup	1.242~deb13u1	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
console-setup-linux	1.242~deb13u1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: console-setup.	medium	parents=console-setup
control-strip-simulator	0.1.0	arm64	manual	local-deb	core	direct	local PiForma app	Locally built PiForma Debian package installed outside configured APT repositories.	dpkg installed package; live services or launchers reference PiForma local apps.	high	none
coreutils	9.7-3	arm64	manual	base-os	base	direct	Raspberry Pi OS / desktop base	Part of Raspberry Pi OS, Raspberry Pi hardware support, firmware, kernel, or Raspberry Pi desktop metapackage set.	Installed Raspberry Pi/Debian package and current OS baseline evidence.	high	none
cpio	2.15+dfsg-2	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
cpp	4:14.2.0-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: g++, gcc, build-essential.	medium	parents=g++,gcc,build-essential
cpp-14	14.2.0-19	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: g++, gcc, build-essential.	medium	parents=g++,gcc,build-essential
cpp-14-aarch64-linux-gnu	14.2.0-19	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: g++, gcc, build-essential.	medium	parents=g++,gcc,build-essential
cpp-14-for-host:arm64	14.2.0-19	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: linux-headers-rpi-2712, linux-headers-rpi-v8.	medium	parents=linux-headers-rpi-2712,linux-headers-rpi-v8
cpp-aarch64-linux-gnu	4:14.2.0-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: g++, gcc, build-essential.	medium	parents=g++,gcc,build-essential
cron	3.0pl1-197	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
cron-daemon-common	3.0pl1-197	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
cups	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-browsed	1.28.17-6+rpt1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-client	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-common	2.4.10-3+rpt2+deb13u1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-core-drivers	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-daemon	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-filters	1.28.17-6+rpt1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-filters-core-drivers	1.28.17-6+rpt1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-ipp-utils	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-pk-helper	0.2.6-2.1+rpt1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-ppdc	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
cups-server-common	2.4.10-3+rpt2+deb13u1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
curl	8.14.1-2+deb13u3	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
dash	0.5.12-12	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
dbus	1.16.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: lightdm, rpd-common, rpd-wayland-core.	medium	parents=lightdm,rpd-common,rpd-wayland-core
dbus-bin	1.16.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: lightdm, rpd-common, rpd-wayland-core.	medium	parents=lightdm,rpd-common,rpd-wayland-core
dbus-daemon	1.16.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: lightdm, rpd-common, rpd-wayland-core.	medium	parents=lightdm,rpd-common,rpd-wayland-core
dbus-session-bus-common	1.16.2-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: lightdm, rpd-common.	medium	parents=lightdm,rpd-common
dbus-system-bus-common	1.16.2-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: lightdm, rpd-common, rpd-wayland-core.	medium	parents=lightdm,rpd-common,rpd-wayland-core
dbus-user-session	1.16.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
dbus-x11	1.16.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
dconf-cli	0.40.0-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: raspi-config, raspberrypi-net-mods, raspberrypi-sys-mods.	medium	parents=raspi-config,raspberrypi-net-mods,raspberrypi-sys-mods
dconf-gsettings-backend:arm64	0.40.0-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: pipewire-pulse, rpd-wayland-core, appmenu-gtk3-module:arm64.	medium	parents=pipewire-pulse,rpd-wayland-core,appmenu-gtk3-module:arm64
dconf-service	0.40.0-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: pipewire-pulse, rpd-wayland-core, appmenu-gtk3-module:arm64.	medium	parents=pipewire-pulse,rpd-wayland-core,appmenu-gtk3-module:arm64
debconf	1.5.91	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
debconf-i18n	1.5.91	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
debconf-utils	1.5.91	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
debhelper	13.24.2	all	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
debian-archive-keyring	2025.1	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
debianutils	5.23.2	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
debsums	3.0.2.3	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
debugedit	1:5.1-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpm.	medium	parents=rpm
designer-qt6	6.8.2-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: qt6-tools-dev-tools, qt6-tools-dev:arm64.	medium	parents=qt6-tools-dev-tools,qt6-tools-dev:arm64
desktop-file-utils	0.28-1	arm64	auto	piforma-core-runtime	core	dependency	active PiForma runtime	Directly referenced by active services, launchers, scripts, or live process snapshot.	Live process/service/launcher/script audit shows this package or command supports active PiForma runtime.	high	none
device-tree-compiler	1.7.2-2+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: raspi-utils, rpi-eeprom.	medium	parents=raspi-utils,rpi-eeprom
devscripts	2.25.15+deb13u1	all	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
dh-autoreconf	20	all	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
dh-strip-nondeterminism	1.14.1-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: debhelper.	medium	parents=debhelper
dhcpcd-base	1:10.1.0-11+deb13u2	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
dialog	1.3-20250116-1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
dictionaries-common	1.30.10	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, about-this-pi-forma, at-ease.	medium	parents=libwebkit2gtk-4.1-0:arm64,about-this-pi-forma,at-ease
diffutils	1:3.10-4	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
dirmngr	2.4.7-21+deb13u1+b3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: gnupg, flatpak.	medium	parents=gnupg,flatpak
distro-info-data	0.66+deb13u2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: apt-listchanges.	medium	parents=apt-listchanges
